img;score
eng_heart/RawFrames/0000_fake.mp4/0.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/1.png;[0.9868684]
eng_heart/RawFrames/0000_fake.mp4/2.png;[0.95896536]
eng_heart/RawFrames/0000_fake.mp4/3.png;[0.0008872]
eng_heart/RawFrames/0000_fake.mp4/4.png;[0.01388274]
eng_heart/RawFrames/0000_fake.mp4/5.png;[0.9459609]
eng_heart/RawFrames/0000_fake.mp4/6.png;[0.02075218]
eng_heart/RawFrames/0000_fake.mp4/7.png;[0.97826195]
eng_heart/RawFrames/0000_fake.mp4/8.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/9.png;[0.51141876]
eng_heart/RawFrames/0000_fake.mp4/10.png;[5.308386e-09]
eng_heart/RawFrames/0000_fake.mp4/11.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/12.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/13.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/14.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/15.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/16.png;[0.0001328]
eng_heart/RawFrames/0000_fake.mp4/17.png;[2.3791886e-09]
eng_heart/RawFrames/0000_fake.mp4/18.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/19.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/20.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/21.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/22.png;[0.9868684]
eng_heart/RawFrames/0000_fake.mp4/23.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/24.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/25.png;[7.671627e-08]
eng_heart/RawFrames/0000_fake.mp4/26.png;[7.2568485e-10]
eng_heart/RawFrames/0000_fake.mp4/27.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/28.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/29.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/30.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/31.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/32.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/33.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/34.png;[0.9868684]
eng_heart/RawFrames/0000_fake.mp4/35.png;[0.65255153]
eng_heart/RawFrames/0000_fake.mp4/36.png;[0.59502935]
eng_heart/RawFrames/0000_fake.mp4/37.png;[1.985166e-09]
eng_heart/RawFrames/0000_fake.mp4/38.png;[1.4730239e-08]
eng_heart/RawFrames/0000_fake.mp4/39.png;[0.03542032]
eng_heart/RawFrames/0000_fake.mp4/40.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/41.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/42.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/43.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/44.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/45.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/46.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/47.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/48.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/49.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/50.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/51.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/52.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/53.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/54.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/55.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/56.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/57.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/58.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/59.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/60.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/61.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/62.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/63.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/64.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/65.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/66.png;[0.00078054]
eng_heart/RawFrames/0000_fake.mp4/67.png;[9.6464855e-06]
eng_heart/RawFrames/0000_fake.mp4/68.png;[0.0010141]
eng_heart/RawFrames/0000_fake.mp4/69.png;[0.76792127]
eng_heart/RawFrames/0000_fake.mp4/70.png;[0.54659516]
eng_heart/RawFrames/0000_fake.mp4/71.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/72.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/73.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/74.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/75.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/76.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/77.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/78.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/79.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/80.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/81.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/82.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/83.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/84.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/85.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/86.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/87.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/88.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/89.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/90.png;[3.8448247e-10]
eng_heart/RawFrames/0000_fake.mp4/91.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/92.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/93.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/94.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/95.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/96.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/97.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/98.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/99.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/100.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/101.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/102.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/103.png;[7.1536277e-10]
eng_heart/RawFrames/0000_fake.mp4/104.png;[0.9868684]
eng_heart/RawFrames/0000_fake.mp4/105.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/106.png;[0.9868684]
eng_heart/RawFrames/0000_fake.mp4/107.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/108.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/109.png;[5.273527e-10]
eng_heart/RawFrames/0000_fake.mp4/110.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/111.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/112.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/113.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/114.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/115.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/116.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/117.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/118.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/119.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/120.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/121.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/122.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/123.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/124.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/125.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/126.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/127.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/128.png;[0.03178299]
eng_heart/RawFrames/0000_fake.mp4/129.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/130.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/131.png;[8.4423476e-08]
eng_heart/RawFrames/0000_fake.mp4/132.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/133.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/134.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/135.png;[3.8456607e-10]
eng_heart/RawFrames/0000_fake.mp4/136.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/137.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/138.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/139.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/140.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/141.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/142.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/143.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/144.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/145.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/146.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/147.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/148.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/149.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/150.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/151.png;[1.1990084e-09]
eng_heart/RawFrames/0000_fake.mp4/152.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/153.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/154.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/155.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/156.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/157.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/158.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/159.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/160.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/161.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/162.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/163.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/164.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/165.png;[7.896158e-10]
eng_heart/RawFrames/0000_fake.mp4/166.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/167.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/168.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/169.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/170.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/171.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/172.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/173.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/174.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/175.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/176.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/177.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/178.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/179.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/180.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/181.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/182.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/183.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/184.png;[0.9563108]
eng_heart/RawFrames/0000_fake.mp4/185.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/186.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/187.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/188.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/189.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/190.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/191.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/192.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/193.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/194.png;[5.886187e-10]
eng_heart/RawFrames/0000_fake.mp4/195.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/196.png;[5.8860977e-10]
eng_heart/RawFrames/0000_fake.mp4/197.png;[5.88621e-10]
eng_heart/RawFrames/0000_fake.mp4/198.png;[3.8447368e-10]
eng_heart/RawFrames/0000_fake.mp4/199.png;[2.9312629e-05]
eng_heart/RawFrames/0000_fake.mp4/200.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/201.png;[5.886165e-10]
eng_heart/RawFrames/0000_fake.mp4/202.png;[6.7784014e-05]
eng_heart/RawFrames/0000_fake.mp4/203.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/204.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/205.png;[4.048184e-10]
eng_heart/RawFrames/0000_fake.mp4/206.png;[6.0633126e-10]
eng_heart/RawFrames/0000_fake.mp4/207.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/208.png;[3.8575176e-10]
eng_heart/RawFrames/0000_fake.mp4/209.png;[5.886187e-10]
eng_heart/RawFrames/0000_fake.mp4/210.png;[3.8443773e-10]
eng_heart/RawFrames/0000_fake.mp4/211.png;[4.730767e-10]
eng_heart/RawFrames/0000_fake.mp4/212.png;[5.886165e-10]
eng_heart/RawFrames/0000_fake.mp4/213.png;[5.9635286e-10]
eng_heart/RawFrames/0000_fake.mp4/214.png;[0.00051825]
eng_heart/RawFrames/0000_fake.mp4/215.png;[1.2220925e-09]
eng_heart/RawFrames/0000_fake.mp4/216.png;[3.8473777e-10]
eng_heart/RawFrames/0000_fake.mp4/217.png;[0.00036754]
